时间戳记,1. Gender,2. University location,3. University full name,4. Year of study at university,5. Are you in the first or last year of your program?,6. Major,7. Origin,8. Sheltering place during covid-19,"9. How strictly have you been observing the directives of ""quarantine"", ""confinement"", ""shelter-in-place"" and/or ""social distancing""  in your country? ","10. Have you experienced any recent dramatic or significant change in your life (loss or departure of a close friend or relative, you or a relative getting gravely sick, being in close contact with a Covid-infected person, financial difficulties, etc.)?","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Day time availability to follow classes]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Efficiency of learning or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Time devoted to studying or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Accessibility to internet]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Grades or marks]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Availability of essential study resources (computer, lab, etc.)]","12. Select the four best means of sustaining or improving ACADEMIC PERFORMANCE that you find effective during ""quarantine"":","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Living conditions (including lodging and sharing housing)]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Remote interactions with friends or family]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Family atmosphere]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Relationship with friends]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Meeting new people]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Professional interactions (students/teachers/collaborators)]","14. Select the four best means of sustaining or improving SOCIAL INTERACTIONS that you find effective during ""quanrantine"":","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality and availability of medical services]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your level of fatigue, pain, or headache]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your sleep condition]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of physically exercise]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your use of alcohol / tobacco / drugs]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of food, your digestion, appetite, and/or weight ]","16. Select the four best means of sustaining or improving PHYSICAL HEALTH and FITNESS that you find effective during ""quarantine"":","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Anxiety]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Sadness]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Loneliness ]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Self-confidence]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Serenity]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Motivation]","18. Select the four best means of sustaining or improving HAPPINESS and SATISFACTION that you find effective during ""quarantine"":","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Academic Performances]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Physical Health and Fitness]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Happiness and Satisfaction]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Social Interactions]","20. How do you rate overall the experience of ""quarantine"" and ""social distancing""?","21. Do you believe that a ""quarantine"" period is effective to contain the spread of coronavirus?","22. What did you miss most during the ""quarantine"" period?","By submitting your responses, you consent that your data will be used for research purposes"
2020-6-11 下午03:46:49,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),5,"YES, due to COVID-19",Better,Worse,Worse,Much Worse,Neutral,Better,"Attending class regularly, Getting fast and reliable internet connection, Doing homework together with other students, Taking regularly little breaks/pauses/naps",Neutral,Worse,Worse,Neutral,Much Worse,Better,"Having regular video-conference meetings, Checking on friends and family regularly, Taking care of pets or plants, Cooking and/or eating together (potentially remotely)",Worse,Worse,Better,Worse,Worse,Much Worse,"Sleeping well, Physically exercising, Going out in the sun, Taking regular breaks/naps",Much Better,Better,Better,Worse,Worse,Worse,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument, Doing housekeeping",Neutral,Worse,Worse,Worse,2,4,"The routine (lecture hall, see friends ...)",I agree.
2020-6-11 下午04:14:48,Male,Spain,Barcelona,4th,"Yes, I am  in the last year of my program",Engineering (other that computer related),Other,Primary residence or your family place (if different from your university lodging),4,NO,Better,Much Worse,Worse,Neutral,Worse,Neutral,"Attending class regularly, Doing homework together with other students, Meeting one-on-one with instructors, Alternating studying and doing physical exercise",Neutral,Neutral,Worse,Neutral,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Physically exercising together (potentially remotely), Playing games with friends or family (potentially remotely)",Much Worse,Worse,Neutral,Much Worse,Neutral,Neutral,"Sleeping well, Going out in the sun, Drinking water regularly, Taking regular breaks/naps",Much Worse,Neutral,Neutral,Worse,Neutral,Worse,"Learning something new, Finishing to a lesson or do homework, Physically exercising, Cooking a nice meal",Worse,Worse,Worse,Worse,2,5,Gym,I agree.
2020-6-11 下午04:15:29,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Other,Primary residence or your family place (if different from your university lodging),4,Prefer not to say,Neutral,Better,Neutral,NA,Neutral,NA,"Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Alternating studying and doing physical exercise",Worse,Neutral,Neutral,Neutral,Worse,Better,"Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",NA,Neutral,Worse,Better,Much Worse,Worse,"Sleeping well, Physically exercising, Breathing well, Drinking water regularly",Worse,Worse,Neutral,Neutral,Neutral,Better,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal",Neutral,Better,Neutral,Worse,3,4,"running outside for long distance, going out with friends, playing volleyball, going out to where and when I want",I agree.
2020-6-11 下午04:22:50,Female,Spain,Barcelona,1st,"Yes, I am in the first year of my program",Math and statistics,Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Better,Better,Neutral,Better,Neutral,"Doing homework regularly, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps, Flexiblity",Neutral,Better,Neutral,Worse,Much Worse,Worse,"Taking care of pets or plants, Physically exercising together (potentially remotely), Playing music together (potentially remotely), Checking family regularly",Worse,Neutral,Neutral,Better,Worse,Neutral,"Physically exercising, Going out in the sun, Taking regular breaks/naps, Go for walks in the mountain ",Neutral,Better,Better,Neutral,Neutral,Worse,"Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument",Better,Better,Neutral,Worse,3,5,Concerts,I agree.
2020-6-11 下午04:30:44,Female,France,Nice Cote d'Azur,8th or more,"Yes, I am  in the last year of my program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),5,"YES, due to COVID-19",Neutral,Worse,Neutral,Neutral,Neutral,Worse,"Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students, Taking regularly little breaks/pauses/naps",Neutral,Worse,Neutral,Worse,Much Worse,Much Worse,"Checking on friends and family regularly, Taking care of pets or plants, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Worse,Worse,Worse,Much Worse,Neutral,Neutral,"Eating well, Consuming less alcohol / tobacco / drugs, Taking showers or baths, Drinking water regularly",Worse,Neutral,Neutral,Worse,Neutral,Worse,"Finishing to a lesson or do homework, Chatting, video-conferencing, or talking with friends or family, Doing arts and crafts or playing an instrument, Getting clean and dressing well",Worse,Worse,Neutral,Worse,3,5,To Drive,I agree.
2020-6-11 下午04:38:39,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program",Other sciences,Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Better,Neutral,Neutral,Better,Better,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Communicating online with other students during classes, Doing homework together with other students",Better,Neutral,Neutral,Worse,Much Worse,Better,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",NA,Neutral,Worse,Much Better,NA,Much Better,"Eating well, Physically exercising, Going out in the sun, Taking showers or baths",Worse,Better,Better,Better,Neutral,Better,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Physically exercising, Doing arts and crafts or playing an instrument",Neutral,Better,Neutral,Worse,2,5,Going to the university with my friends and enjoying our classes together,I agree.
2020-6-11 下午04:45:47,Male,France,Paris-Saclay,5th,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,University lodging or temporary lodging near the university,4,"YES, due to COVID-19",Better,Worse,Better,Worse,Neutral,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Taking regularly little breaks/pauses/naps",Worse,Neutral,Neutral,Neutral,Much Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Playing games with friends or family (potentially remotely)",Neutral,Neutral,Worse,Worse,Better,Neutral,"Eating well, Sleeping well, Physically exercising, Consuming less alcohol / tobacco / drugs",Worse,Worse,Worse,Worse,Worse,Neutral,"Learning something new, Physically exercising, Getting clean and dressing well, Cooking a nice meal",Neutral,Worse,Worse,Worse,2,5,Sport,I agree.
2020-6-11 下午04:47:09,Male,France,Paris-Saclay,5th,"No, I am in the middle of the program",Math and statistics,Same country as university,Primary residence or your family place (if different from your university lodging),4,"YES, but due to other reasons",Much Worse,Much Better,Much Better,Neutral,Much Worse,Neutral,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Neutral,NA,Neutral,Worse,Much Worse,Much Worse,"Having regular video-conference meetings, Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely), Playing games with friends or family (potentially remotely)",Much Worse,Much Worse,Much Worse,Much Better,Much Better,Neutral,"Eating well, Physically exercising, Going out in the sun, Drinking water regularly",Much Worse,Much Worse,Much Worse,Neutral,Much Worse,Much Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music",Worse,Neutral,Much Worse,Much Worse,1,5,girlfriend,I agree.
2020-6-11 下午04:47:25,Female,France,Nice Cote d'Azur,8th or more,"Yes, I am  in the last year of my program","Experimental sciences (physics, biology, chemistry)",Other,University lodging or temporary lodging near the university,4,"YES, due to COVID-19",Worse,Worse,Worse,Neutral,Neutral,Neutral,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Listening to music while working, Taking regularly little breaks/pauses/naps",Worse,Worse,Neutral,Worse,Worse,Much Worse,"Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Physically exercising together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Neutral,Worse,Much Worse,Neutral,"Physically exercising, Taking showers or baths, Drinking water regularly, Taking regular breaks/naps",Better,Better,Better,Worse,Worse,Much Worse,"Learning something new, Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Getting clean and dressing well",Worse,Worse,Worse,Much Worse,3,5,I miss the feeling of freedom to do what I want the time I want,I agree.
2020-6-11 下午05:03:02,Male,Spain,Barcelona,4th,"Yes, I am  in the last year of my program",Math and statistics,Same country as university,Other,5,NO,Much Better,Better,Better,Neutral,NA,NA,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students, Meeting one-on-one with instructors",Neutral,Much Better,Neutral,Better,Worse,Better,"Having regular video-conference meetings, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Worse,Neutral,Worse,Much Worse,Neutral,Better,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Better,Neutral,Worse,Neutral,Much Better,Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Doing arts and crafts or playing an instrument, Doing housekeeping",Better,Much Worse,Neutral,Neutral,4,5,Taking (usually long) walks outside,I agree.
2020-6-11 下午05:17:52,Male,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Much Better,Much Better,Much Better,Better,Better,Much Better,"Communicating online with other students during classes, Alternating studying and doing physical exercise, Listening to music while working, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Taking care of pets or plants, Exchanging affection, or physical care (like massages), or having intimate relationships, Playing games with friends or family (potentially remotely), Don't have social life, but I have to mark 3 other things so I'll put random",Neutral,Much Better,Better,Much Better,Neutral,Better,"Sleeping well, Physically exercising, Drinking water regularly, Taking regular breaks/naps",Neutral,Neutral,Neutral,Neutral,Neutral,Worse,"Learning something new, Physically exercising, Watching videos or television, reading, or listening to music, playing video games",Worse,Better,Neutral,Neutral,5,5,seeing my girlfriend,I agree.
2020-6-11 下午05:22:18,Male,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Worse,Much Better,Neutral,Better,Neutral,"Attending class regularly, Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students",Neutral,Much Better,Neutral,Neutral,Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Taking care of pets or plants, Cooking and/or eating together (potentially remotely)",Neutral,Better,Better,Worse,Neutral,Neutral,"Eating well, Physically exercising, Going out in the sun, Drinking water regularly",Neutral,Neutral,Neutral,Neutral,Neutral,Worse,"Learning something new, Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal",Better,Worse,Neutral,Better,4,4,Le vrai contact avec les gens,I agree.
